Barnhart Dining,All You Can Eat,"44.048839,-123.084284",Barnhart Hall,Yes,Yes,1
Big Mouth Burrito,Mexican,"44.045093,-123.069105",Hamilton Hall,Yes,Yes,1
Carson Dining,All You Can Eat,"44.045399,-123.071636",Carson Hall,Yes,Yes,5
Common Grounds Cafe,"Cafe,Sandwich,Market,Smoothie,Dessert,Snack","44.045195,-123.068959",Hamilton Hall,Yes,Yes,2
Dux Bistro - Breakfast,"Cafe,Sandwich,Salad,Snack,Dessert,Smoothie,Market,Sushi","44.044320,-123.071730",Living Learning Center,Yes,Yes,3
Dux Bistro - Cafe,"Cafe,Sandwich,Salad,Snack,Dessert,Smoothie,Market,Sushi","44.044320,-123.071730",Living Learning Center,Yes,Yes,2
"Dux Bistro - Sandwich,Salad","Cafe,Sandwich,Salad,Snack,Dessert,Smoothie,Market,Sushi","44.044320,-123.071730",Living Learning Center,Yes,Yes,3
Fire 'n' Spice,"Mongolian Grill,Asian","44.044796,-123.068856",Hamilton Hall,Yes,Yes,3
Fresh Marketcafe - Breakfast,"Cafe,Smoothie,Dessert,Salad,Market,Snack,Bowl,Sushi,Italian","44.044838,-123.073804",Global Scholars Hall,Yes,Yes,3
"Fresh Marketcafe - Cafe,Market","Cafe,Smoothie,Dessert,Salad,Market,Snack,Bowl,Sushi,Italian","44.044838,-123.073804",Global Scholars Hall,Yes,Yes,1
Fresh Marketcafe - Bowls,"Cafe,Smoothie,Dessert,Salad,Market,Snack,Bowl,Sushi,Italian","44.044838,-123.073804",Global Scholars Hall,Yes,Yes,3
Fresh Marketcafe - Pasta,"Cafe,Smoothie,Dessert,Salad,Market,Snack,Bowl,Sushi,Italian","44.044838,-123.073804",Global Scholars Hall,Yes,Yes,3
Grab 'n' Go - Market,"Market,Sandwich,Salad,Dessert","44.044827,-123.068634",Hamilton Hall,Yes,Yes,1
Gastro Kitchen,"American,Sandwich,Salad,Dessert","44.044827,-123.068634",Hamilton Hall,Yes,Yes,2
"Grab 'n' Go - Sandwich,Salad","Market,Sandwich,Salad,Dessert","44.044827,-123.068634",Hamilton Hall,Yes,Yes,3
Puddles Cafe,"Cafe,Snack,Sandwich,Smoothie","44.049016,-123.084003",Barnhart Hall,Yes,Yes,1
Chipotle,Mexican,"44.044603,-123.074078",EMU,Yes,No,3
Falling Sky,"Pizza,Pub","44.044878,-123.073998",EMU,Yes,No,3
Fresh Corner Market,"Cafe,Salad,Bowl,Market","44.044832,-123.073796",EMU,Yes,No,1
Jamba Juice,"Smoothie,Market","44.044797,-123.073659",EMU,Yes,No,2
"Joe's Burgers",American,"44.044520,-123.074017",EMU,Yes,No,3
Panda Express,Asian,"44.044421,-123.073927",EMU,Yes,No,3
Starbucks,"Cafe,Sandwich,Dessert,Snack,Tea","44.044731,-123.074002",EMU,Yes,No,2
Subway,"Sandwich,Salad","44.044490,-123.074026",EMU,Yes,No,3
Townshend's Tea Company,"Cafe,Tea","44.044752,-123.073661",EMU,Yes,No,2
Lillis Cafe,"Cafe,Sandwich,Snack","44.046152,-123.077484",Lillis,Yes,No,2
Elements Cafe,"Cafe,Market,Snack","44.046338,-123.072958",Price Science Commons Library,Yes,No,2
Marche Museum Cafe,"Sandwich,Cafe,Snack,Salad","44.044065,-123.077133",Jordan Schnitzer Museum of Art,No,No,2
Education Station,"Cafe,Snack,Sandwich","44.041819,-123.078989",HEDCO,Yes,No,2
Cafe Verso,"Cafe,Snack,Sandwich","44.043697,-123.078010",Knight Library,Yes,No,2
Camp 13 Cafe,"Cafe,Snack,Sandwich,Salad","44.045849,-123.069180",Jaqua,Yes,No,2
Shake Smart,"Smoothie,Snack","44.042955,-123.073813",Rec Center,Yes,No,3
Wilcox Hearth,"Cafe,Sandwich,Mexican,Dessert,Snack","44.046974,-123.074813","1190 Franklin Blvd, Eugene, OR 97401",Yes,No,1
Cart De Frisco,"Sandwich,Asian,Salad","44.045424,-123.078654","1301 Kincaid St, Eugene, Oregon 97401",No,No,3
Duck Stop Cafe,Cafe,"44.045640,-123.078836","4791 Franklin Blvd, Eugene, OR 97403",Yes,No,2
Taylor's Bar and Grill,Pub,"44.045278,-123.078890","894 E 13th Ave, Eugene, OR 97401",No,No,3
Noodle Head,"Italian,Asian,Salad","44.045316,-123.079051","880 E 13th Ave, Eugene, OR 97401",No,No,3
Milky Way Tea & Bagels,"Cafe,Dessert,Tea","44.045324,-123.079351","854 E 13th Ave, Eugene, OR 97401",No,No,2
Teriyaki Boy,Asian,"44.045332,-123.079501","844 E 13th Ave, Eugene, OR 97401",No,No,2
Qdoba,Mexican,"44.045378,-123.079652","840 E 13th Ave, Eugene, OR 97401",No,No,2
East Meets West,Asian,"44.045347,-123.079759","830 E 13th Ave, Eugene, OR 97401",No,No,2
Yogurt Extreme,Dessert,"44.045671,-123.079169","879 E 13th Ave, Eugene, OR 97401",No,No,3
Caspian Mediterranean Cafe,"American,Sandwich","44.045656,-123.079330","863 E 13th Ave, Eugene, OR 97401",No,No,2
The Webfoot,"Sandwich,Salad,Pizza,Pub,American","44.045602,-123.079684","839 E 13th Ave, Eugene, OR 97401",No,No,2
Espresso Roma Cafe,"Tea,Smoothie,Cafe,Dessert,Snack","44.045694,-123.079764","825 E 13th Ave, Eugene, OR 97401",No,No,1
Jimmy Johns Gourmet Sandwiches,"Sandwich,Dessert","44.045667,-123.079893","801 E 13th Ave, Eugene, OR 97401",No,No,4
Starbucks on 13th Ave,"Cafe,Tea,Sandwich","44.045679,-123.080006","801 E 13th Ave, Eugene, OR 97401",No,No,2
Rennie's Landing Restaurant and Bar,Pub,"44.046423,-123.078927","1214 Kincaid St, Eugene, OR 97401",No,No,4
Maple Garden Restaurant,Asian,"44.045868,-123.079941","1275 Alder St, Eugene, OR 97401",No,No,5
Izakaya Jinsei,Asian,"44.046128,-123.079995","1249 Alder St, Eugene, OR 97401",No,No,3
The Sandwich League,Sandwich,"44.046169,-123.079982","1239 Alder St, Eugene, OR 97401",No,No,1
Spring House,Asian,"44.046221,-123.080003","3712, 1225 Alder St, Eugene, OR 97401",No,No,3
Sweet Basil Express,"Thai,Asian","44.046402,-123.079990","1219 Alder St, Eugene, OR 97401",No,No,2
Sy's New York Pizza,Pizza,"44.046469,-123.079976","1211 Alder St, Eugene, OR 97401",No,No,1
Glenwood,"Sandwich,Cafe,Dessert,American","44.045093,-123.080413","1340 Alder St, Eugene, OR 97401",No,No,3
Pegasus Pizza & Fathoms Bar,"Pizza,Pub","44.044244,-123.080821","790 E 14th Ave, Eugene, OR 97401",No,No,4
Agate Alley Bistro,"Cafe,Pub","44.039089,-123.070527","1461 E 19th Ave, Agate Alley, Eugene, OR 97403",No,No,3
Studio One Cafe,"Sandwich,Cafe,Dessert,American","44.039181,-123.070299","1473 E 19th Ave, Eugene, OR 97403",No,No,2
McMenamins East 19th Street Cafe,"American,Pub","44.039303,-123.070060","1485 E 19th Ave, Eugene, OR 97403",No,No,4
Prince Puckler's Gourmet Ice Cream,Dessert,"44.039200,-123.069392","1605 E 19th Ave, Eugene, OR 97403",No,No,1
Oolong Bar,"Tea,Cafe,Dessert","44.039106,-123.069347","1607 E 19th Ave, Eugene, OR 97403",No,No,1
Sweet Life Petite,Cafe,"44.039110,-123.069279","1609 E 19th Ave, Eugene, OR 97403",No,No,2
Hey Neighbor Pizza House,Pizza,"44.039112,-123.069170","1621 E 19th Ave, Eugene, OR 97403",No,No,4
"Duck Store,Knight Law","Cafe,Tea,Smoothie","44.042363,-123.068923","1515 Agate St Room 182, Eugene, OR 97403",No,No,1
Starbucks on Franklin,"Cafe,Tea,Sandwich","44.045887,-123.064653","1895 Franklin Blvd, Eugene, OR 97403",No,No,2
House of Chen Restaurant,Asian,"44.045864,-123.065050","1861 Franklin Blvd, Eugene, OR 97403",No,No,3
Track Town Pizza,Pizza,"44.046180,-123.066498","1809 Franklin Blvd, Eugene, OR 97403",No,No,3
Trev's Sports Bar & Grill,"Pub,American","44.046697,-123.068247","1675 Franklin Blvd, Eugene, OR 97401",No,No,4
